Customer_id,imei_tac,brand_name,model_name,os_name,os_vendor
V0H084B3FA,7ce90a5469d6a07dc8c770956cc29482,SAMSUNG,GALAXY J1 ACE (SM-J111F),Android,Google
7SI1YKSDMB,110f73736e1e1fe0ef5cb8a581bc0ec2,WALTON,OLVIO L22,,
H0L4L7VHXT,ddf90b7c597d7714637ecde342a8c609,LG,W1500,LG OS,LG
6I324KGK08,c395eac49569e6741faf98284aef725c,SYMPHONY,B13,,
WKJ0VXQFIY,395b163b071e5880e66ac57c5768673e,SAMSUNG,METRO SM-B350ED,Samsung OS,Samsung
HT4P3N5R38,d64cd8af0738cb79bbe21da1558201fc,HIMAX,"H20, H21, H111, H222",Android,Google
Y4EHCD6U3G,0b3697b11e5ebf9e71988274e12f8ba0,SAMSUNG,GALAXY ACE NXT (SM-G313HU),Android,Google
KTYHYNJG3Q,37efb3b8fbe269d7a3c62001c7e45fc5,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
2N2119NGLF,a214f011d36d222d6930629d0306198b,ITEL,IT5231,,
CT2JZ4HB0I,8a0150c6a9e697d20454931f423b29b0,NOKIA,3 DS (TA-1032),Android,Google
HF5N5ZWXFL,61cd8b39ab39ecac08f5c8f90cb145f0,SYMPHONY,D52I,,
4WMWWD3L7C,88e581b67db0c460c8ba66bbec4d0f7f,SYMPHONY,"B9, FT34, B11I, H50",Proprietary OS,Proprietary OS
RIPWSYBXN8,3058d7c7b298c97da6a53eaffc0e2c2c,PHONE CARE AXIOM TELECOM,B104 JOY 3,,
9GXGVJOUV1,638748d45c096536851b5564a1122798,SYMPHONY,D22,,
WOT5TC8J5V,1763505e0a70e2ed6763561e3150f332,MICROMAX,X088,Proprietary OS,Proprietary OS
U38Z486TPA,387411bb982ac7ded5c89fcd22c83839,NOKIA,3310 DS (TA-1030),Proprietary OS,Proprietary OS
PYTD6L08D9,ac3e6888147027fff3912fd304d15717,ITEL,IT5020,Proprietary OS,Proprietary OS
YDS5XC3E0C,4e90a0d4c97663817a639a85bf31d8e0,HUAWEI,Y5 (2017),Android,Google
AB4ANZ6G75,f9676f4bf10656cb09c76511cfd9862d,LAVA,ARC 101,,
AWVATWP59G,f16733a2b000319dce737c7d416425b1,SYMPHONY,D22,,
KXGA8SKWE8,1dcf1b0e4122fb3fe2cca8e193661ed0,ITEL,IT5040,,
OQ9B2EXIDK,4a4d862523689744f5dc9b1e7b0e6da2,SAMSUNG,GALAXY J1 (SM-J110HDD),Android,Google
TEJYJOBYU0,d311f40280e220b18bd58fd967de1268,XIAOMI,REDMI NOTE 5 (MEE7S),Android,Google
UDO9383QJE,aae11d9f32dec67df517863c0c772225,MAXIMUS,M80,Proprietary OS,Proprietary OS
3OLCZ44QRO,40c4a81d30666f647e8be9617b5639a6,SAMSUNG,GALAXY A7 2016 (SM-A710FD DS),Android,Google
SQFIGG8YCD,387411bb982ac7ded5c89fcd22c83839,NOKIA,3310 DS (TA-1030),Proprietary OS,Proprietary OS
I21IUMPDF1,16dc9330eacb36714f91861e6187709d,HUAWEI,Y6 II DUAL SIM (CAM-L21),Android,Google
KSTCDNRYGF,134ce86324bebf44cbe6343631189932,SAMSUNG,GALAXY J2 DUOS (SM-J200G DD),Android,Google
9O7IBO2QF1,456198ab9e9c39b2d716e6650dccb660,APPLE,IPHONE 4 (A1332),iOS,Apple
EK7ID36HSW,aeb43556a54582c33ef783a52afdd8ff,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
A3V6947CM2,6dca263723c9a6bff8a88db631aa24d0,SAMSUNG,GALAXY J5 PRIME DUOS (SM-G570F DS),Android,Google
JUMVL6CNGJ,028d4f730245a7bd3a948c228b8aff97,AAMRA,WE B2,Android,Google
JTJGYY3G1V,7d3eb13234a1ab38c4016f4a4ec650bd,SAMSUNG,GALAXY C7 (SM-C7000),Android,Google
SWIQKJBXG3,92eb976b41de5b5070973c637d6bfeb7,SAMSUNG,GALAXY J5 PRIME DUOS (SM-G570Y DS),Android,Google
3O4E8R56ZY,151082ce9ce8e4c638d8e45ccc028baf,SAMSUNG,GALAXY GRAND PRIME VE DUOS LTE (SM-G531H DD),Android,Google
62KEF2L6A7,d625f2751de4b11c1b3f11daa8124eb5,SAMSUNG,GALAXY J7 (SM-J701F DS),Android,Google
70I2OKRKVT,c395eac49569e6741faf98284aef725c,SYMPHONY,B13,,
3G9BQWXW9T,4bd71c37e7ed0dfe6f5a770e694bed29,SAMSUNG,GALAXY A7 LTE-A (SM-A700FD),Android,Google
EBADE46TWC,7e2931323bde89e32d0d5696345ad284,SAMSUNG,GALAXY J2 2016 (SM-J210F),Android,Google
BFMG80UXBU,8d86b4911ce56087fee74f57f9dd8c20,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
5JKCGF3355,f6028db2c8618fb1498527636dbe176a,SYMPHONY,B17,,
NGWTZJBA6L,40157de080efdcac6e8b9fce74f5e282,XIAOMI,REDMI NOTE 4 (2016102),Android,Google
0SG7NNSF4X,a79c4e9576298cab2a5316a3dd4de4a2,SAMSUNG,GALAXY S DUOS II (GT-S7582),Android,Google
2PWD36CYIN,540e7f49e3b0009ac2f7d7ddb0bf511a,SYMPHONY,T160,,
UOG3N8126X,8941911d6dc6a6dd0bcf2e84b808166c,SAMSUNG,GALAXY ON7 DUOS TD-LTE (SM-G610F),Android,Google
HIJ689V14I,445035141fa0d21fc9cc160f0355634b,SYMPHONY,I10,Android,Google
TL34PNHBMJ,4585b775d0a068db8f8f5c07a09659a5,HUAWEI,P20 LITE (ANE-LX2),Android,Google
WUQ9TQNUUY,a838d0b67fc0def966d330b8e9c3f638,OPPO,A37 (A37FW),Android,Google
IUM9BQSTDG,1acf2e69695b9ac369e112d0f9e18419,WINMAX,"WX82 WX83,WX90,WX91",Android,Google
TW6CKHYU0D,921f1b7ef3fdf84a5fb031292f0a313b,LAVA,DISCOVER NEO,SPREADTRUM OS,SPREADTRUM
SCWTGMGSVA,35620aaa06fe766388f63a638fa0cd91,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
NPEC809HZL,19174437d67408b1722b29f2800f09a2,HUAWEI,Y6II (CAM-L21),Android,Google
F2TJTJKFR4,2dabf8088b707c7575c7db324d227b5d,SYMPHONY,BL65,,
BRNQAB0WL7,d43a093b99093017e7ed911cb9e1a020,LAVA,IRIS 870,Android,Google
QORGNB0CZO,9827ac5005733e46bd5ca592b6aed076,SAMSUNG,GALAXY J2 DUOS (SM-J200H),Android,Google
0V5T0VU6A2,03989b317df16f4786814fee50c9d585,DARAGO,"301,I6,V1,V60,108",Proprietary OS,Proprietary OS
VOTBDILZFU,e521c3f7a7ecdd67e2d4394df6dcb91c,SAMSUNG,GALAXY J7 DUOS LTE (SM-J710FN),Android,Google
R3UCAFEO7N,5576b76dc41e211728cb406b13b5c30f,NOKIA,216 DUAL SIM (RM-1187),Nokia OS,Symbian
HCV210D3CL,bf4a73847de0b58802bec282454fea4d,SYMPHONY,P6 PRO,Android,Google
5ZKGM5HIK7,bc6fd28e3790342ed003cdc5c1dac81e,SYMPHONY,E58,Android,Google
N47CIMKPD5,24a2ddb18a0b4cfa6c8d173e83616f05,WESTERN,"D2, D3, D4, D5",Proprietary OS,Proprietary OS
AXIA5FUDN7,b52033c96b3656259e2921186b1144ab,HUAWEI,Y5 (2017),Android,Google
F8UQENH1M4,8bfbcaa7da0549165389ae31159228b6,SAMSUNG,GALAXY J7 DUOS (SM-J700H DD),Android,Google
NL1S07K2NJ,3bea0f0d9662b6fd9177a0194c53f782,NOKIA,150 DUAL SIM,,NOKIA
OY20GP1F66,fae2dccac5e70e605facad60192ba7be,NOKIA,215 DUAL SIM,Symbian OS,Symbian
CAMVCR4J4H,be8601eeba4c31fee79750f4345afd45,HUAWEI,GT3 (NMO-L31),Android,Google
E2RCNHV08D,ec8d6d1f63ac724f517000ca31b029fc,OPPO,CPH1609,Android,Google
BOPR06U2YW,157ab71eb007998f57292ac5b8bcbdf1,SB TEL,"BL60, D54I",Proprietary OS,Proprietary OS
WNXSJ8WGG8,ce0c695f3a2c0ebf1d0855526eaed361,APPLE,IPHONE 7 (A1778),iOS,Apple
HADEDX2DAZ,7da0e60dc8e2156e6e21d2e76eefcf62,NOKIA,216 DUAL SIM (RM-1187),Nokia OS,Symbian
YE3VPVKI6T,2f62e91a8ab073bd3a2a0c7bcf7a342e,LITEEL,LT2407,,
SMVXI9QX8H,1269194ee612dea34cf4ab49a36c6e67,SAMSUNG,GALAXY J7 PRIME (SM-G610F DS),Android,Google
BABOKTBKF1,d915ccc3169fcd92e3273f33af330e20,SAMSUNG,GALAXY J1 MINI (SM-J105B DS),Android,Google
AWE37OBW73,a171ced71cff9c964354561a8af2c877,NOKIA,105 DUAL SIM (RM-1133),Symbian OS,Symbian
SMY91MBBFD,da1718e2c3a2ce81f102d9b1ee695336,SYMPHONY,"T7 PRO, D24, W75, W94",Android,Google
4OHK8VL31F,d1a8717308edc95eadf4fa519acaf002,NOKIA,105 (RM-1134),Symbian OS,Symbian
U1REUT2HBJ,76b85087941aa96acb314fd0b1d2f051,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung
V4K7AWCQJB,e7ca3dfd2079f2f6ee3dafd09980e068,OPPO,A57,Android,Google
SKFFAD2TG0,268edc19c4e7775fcceeff25adfb81d0,,,,
4JHV0RV581,9025d7adfc250f6b692ff83fee676c5a,HUAWEI,Y3 (CRO-U00),Android,Google
R87V2BKQPX,c11b65d7c4da35ae7ea8182078953df0,SYMPHONY,V110,Android,Google
31I7MOSWJU,54a13555b920a2e3202398d220985d74,NOKIA,6270,ISA,NOKIA
Z4YCX0RKNB,bb287b9dfe87016abbcc27025fc8a85e,MYCELL,C2,,
TSMTPQUYMC,70a7607817808328fa4eff143bbdc5d4,SB TEL,"BL60, D54I",Proprietary OS,Proprietary OS
ZSX2DC9QXQ,0d6b71468145370502c728c96acb1ce3,SYMPHONY,"W15I, W31, D32I",Android,Google
AWGZ5BZIOG,11d9b75cfe2921f27b96bb98448d6af8,OKAPIA,G3,,
QXHNGF19ZW,b8b2ce87a0487029f82f496b7b7cd08c,SAMSUNG,GALAXY J7 DUOS (SM-J700H DD),Android,Google
R89VF4TCKT,00fee679f6ac8a4bdd10e211c86ce6d3,SAMSUNG,GALAXY J2 2016 (SM-J210F),Android,Google
PMT95VMMWQ,4f58b3047c1f770decbafae2e3356f7a,OPPO,CPH1803,Android,Google
BXEK9Z59C0,a19a83e52fdd167323e4aba56d7ab7e1,SONYERICSSON,XPERIA T,Android,Google
2PEEODDR4W,27cec7bcf0f9233a03c510f9e911afb9,SAMSUNG,GALAXY J2 (SM-J200H),Android,Google
ELGWPKREDA,b1d0229373eefd18c6518732b7f57cbc,SAMSUNG,GALAXY ON7 PRO (SM-G615F DS),Android,Google
9R9B9FCHSI,552011a6ac0425d5494fee3acc773181,WALTON DIGI-TECH,PRIMO E8I,Android,Google
DXDQH4HDSL,41cf43a241734cab93e27cc494c6d794,NOKIA,216 DUAL SIM (RM-1187),Nokia OS,Symbian
F8LNNH9OYW,3db8974ddbbae504928fb20ed46f2330,SMART,S-36,,
MYL46YQU4J,7aa1b0607c6e8c80da433d318705f00b,HUAWEI,HONOR 7X (BND-L21),Android,Google
OBB8UZBQIB,d85c9379fdf0ef707388f2e9f5199a6b,SYMPHONY,L16,,
HWFOB4YTSO,a4c5ede5c6bba04766c46fcc595ad163,NOKIA,225 DUAL SIM (RM-1011),Series40,Symbian
TS4BRGN1WM,b04d121a9aa573a19e78944d24d7683d,SYMPHONY,V120,Android,Google
