customer_id,feedback,rating
UO4N80TQ2L,Facing frequent call drops.,1
BR3REJ5Y5U,Billing issues observed.,1
3OYEKE3K0L,Billing issues observed.,4
DFSSCZUXVZ,Had trouble with international roaming.,3
GULQ8DYQCY,4G speed is impressive.,1
45FFEYBMMD,Good network coverage.,2
W82038ZPNB,Not happy with the service.,3
JE0LZO8KLR,Had trouble with international roaming.,2
09VOL7EEK3,Customer service was very helpful.,4
YFVHOOAOEL,Customer service was very helpful.,1
Y1XEOBVB6W,Good value for money.,3
ZTN0DUG1H6,Good value for money.,1
2JNGA3DSQ3,Billing issues observed.,1
RR0LEW7F8N,Good network coverage.,5
S85X0DXMA1,Excellent service!,3
Y2O0POVEHR,Excellent service!,1
ACPWB1LSR8,Customer service was very helpful.,3
SB0JS3DTM9,Customer service was very helpful.,4
VPPDZCBVG8,Facing frequent call drops.,5
990F0P3HTV,Facing frequent call drops.,4
O39I08ZPZY,Good network coverage.,4
LPTLVS6LGI,Not happy with the service.,5
CY1J3XNHD8,Customer service was very helpful.,4
EB4LH0UV8F,Not happy with the service.,3
ANK0HPSQYG,Good network coverage.,5
U4L01Z1V56,Billing issues observed.,4
FNOP6I35VX,Satisfactory experience.,1
2ZXDJ313X3,Customer service was very helpful.,3
N7YBSW74IO,Not happy with the service.,3
WZNZ6VPQG8,Not happy with the service.,2
SIDXRLBRF0,Good value for money.,2
VI0LSIJCXN,Had trouble with international roaming.,2
0YBA5NQGSO,Had trouble with international roaming.,2
VR7T5BXUWX,Facing frequent call drops.,5
4X22O8RXMK,Satisfactory experience.,2
SSQVQSM15K,Excellent service!,3
08ASSL3M1U,Billing issues observed.,5
T5SVSUQ1L6,Good value for money.,4
QDKIWST4EZ,4G speed is impressive.,4
2VE5QU4JGX,Satisfactory experience.,1
UI5JZ5S0FM,Good network coverage.,3
JBPCEWVK9C,Billing issues observed.,1
MKQOA1XEO5,Excellent service!,3
CZN2JIE3Q7,Customer service was very helpful.,3
XZFI2VDPI6,Facing frequent call drops.,1
P1JNYS2KS7,Had trouble with international roaming.,5
SX7KYH17TJ,Excellent service!,4
VO8595XLX3,Satisfactory experience.,5
2MET04JTEC,Excellent service!,5
3D2XT30FTB,Facing frequent call drops.,5
4KHT2JQ55Q,Satisfactory experience.,1
VYMIWBQNK6,Customer service was very helpful.,2
WXR1IFF1FG,Had trouble with international roaming.,4
TNK4Z9N23C,Good network coverage.,3
EE56NI4PN9,Facing frequent call drops.,2
LZLOXPBN37,Billing issues observed.,3
G7AP3TNC76,Good value for money.,1
S411QGO5FV,Billing issues observed.,2
P8UFREOSHQ,Customer service was very helpful.,4
4SQOIAO0KS,Customer service was very helpful.,2
JCGNY7TLXC,Satisfactory experience.,4
S3T790UOK4,Not happy with the service.,2
VH3QAXFJBT,Satisfactory experience.,3
TVY9BVZU34,Facing frequent call drops.,5
4PG5VL9P31,Customer service was very helpful.,5
R9FETT1NWU,4G speed is impressive.,3
2AV9G4PPMX,Excellent service!,3
EK40THCE0C,Not happy with the service.,3
IT5GK3LTZ2,Customer service was very helpful.,4
7WD4MMH52N,Customer service was very helpful.,4
G4K4HDU58O,Excellent service!,3
8K4Y587KFD,Not happy with the service.,3
IOG5MDM4UN,Not happy with the service.,4
7J92UDVRB3,Not happy with the service.,3
W915G7NKAB,Facing frequent call drops.,1
4OAWXZQK0X,4G speed is impressive.,5
K3VDWTTWTJ,Facing frequent call drops.,2
W87ODB0HC3,Excellent service!,4
VS7U11ZSQQ,Customer service was very helpful.,4
IVLPO3TGY7,Excellent service!,1
NHR6WNE6B3,Billing issues observed.,4
FFZ6L399W9,4G speed is impressive.,4
W09OFT1K1Y,Customer service was very helpful.,2
BZO2ONGECA,Satisfactory experience.,2
DV8K0ESMA6,Not happy with the service.,5
1E254FBVTO,Good value for money.,2
OGIYCI05LW,Facing frequent call drops.,2
JUMVL6CNGJ,Facing frequent call drops.,4
0YMHT5GNYP,Facing frequent call drops.,3
KTFTSFG246,4G speed is impressive.,2
KJSHX9ULI7,Not happy with the service.,1
NSIPLGEE62,Not happy with the service.,3
CF8RTCHGTE,Had trouble with international roaming.,3
12QCM7EZCB,Facing frequent call drops.,2
D9QG2LYO52,Good network coverage.,4
WXY7UZES7G,Good network coverage.,1
LJZDN7XLTZ,Billing issues observed.,2
