billing_id,Customer_Id,billing_date,due_date,payment_date,bill_amount
TEL-1000001,XLDRXMB4PQ,3/8/2021,4/2/2021,3/19/2021,259
TEL-1012643,XLDRXMB4PQ,3/5/2021,3/30/2021,3/29/2021,235
TEL-1000002,A65330GRJ6,4/8/2022,5/3/2022,5/1/2022,260
TEL-1002685,A65330GRJ6,3/21/2021,4/15/2021,5/5/2021,51
TEL-1012801,A65330GRJ6,1/17/2021,2/11/2021,2/26/2021,190
TEL-1014521,A65330GRJ6,4/26/2022,5/21/2022,5/21/2022,87
TEL-1000003,SIDXRLBRF0,12/26/2022,1/20/2023,2/12/2023,290
TEL-1001517,SIDXRLBRF0,2/19/2021,3/16/2021,2/22/2021,103
TEL-1012257,SIDXRLBRF0,7/11/2021,8/5/2021,7/15/2021,49
TEL-1000004,2R3M4966VA,2/2/2022,2/27/2022,2/11/2022,43
TEL-1002222,2R3M4966VA,8/8/2022,9/2/2022,8/16/2022,56
TEL-1012505,2R3M4966VA,5/19/2022,6/13/2022,7/5/2022,37
TEL-1014961,2R3M4966VA,4/25/2021,5/20/2021,5/23/2021,113
TEL-1000005,SN32BG8OHC,3/8/2021,4/2/2021,4/25/2021,294
TEL-1002697,SN32BG8OHC,3/20/2022,4/14/2022,4/28/2022,62
TEL-1005116,SN32BG8OHC,6/10/2022,7/5/2022,6/19/2022,?
TEL-1008353,SN32BG8OHC,5/9/2021,6/3/2021,5/24/2021,80
TEL-1013328,SN32BG8OHC,8/29/2022,9/23/2022,9/4/2022,56
TEL-1000006,NT1U6LDGFZ,8/13/2022,9/7/2022,8/28/2022,162
TEL-1001904,NT1U6LDGFZ,11/17/2021,12/12/2021,11/30/2021,27
TEL-1007957,NT1U6LDGFZ,1/25/2021,2/19/2021,2/25/2021,283
TEL-1000007,36H9KMGGRU,1/6/2021,1/31/2021,1/8/2021,648
TEL-1001957,36H9KMGGRU,7/31/2022,8/25/2022,8/23/2022,709
TEL-1003138,36H9KMGGRU,6/9/2022,7/4/2022,6/14/2022,636
TEL-1000008,QRDGEXTI8W,7/4/2021,7/29/2021,7/13/2021,256
TEL-1003595,QRDGEXTI8W,11/15/2021,12/10/2021,12/2/2021,163
TEL-1003646,QRDGEXTI8W,10/13/2022,11/7/2022,11/9/2022,146
TEL-1014720,QRDGEXTI8W,7/10/2022,8/4/2022,7/23/2022,15
TEL-1000009,FK0FL8OYPC,4/20/2021,5/15/2021,5/27/2021,262
TEL-1012168,FK0FL8OYPC,3/18/2021,4/12/2021,5/4/2021,162
TEL-1012443,FK0FL8OYPC,4/12/2022,5/7/2022,5/31/2022,250
TEL-1012890,FK0FL8OYPC,5/9/2021,6/3/2021,6/11/2021,139
TEL-1013836,FK0FL8OYPC,3/2/2022,3/27/2022,4/16/2022,95
TEL-1000010,6MX83Q3DXS,9/28/2022,10/23/2022,10/10/2022,116
TEL-1002727,6MX83Q3DXS,10/21/2022,11/15/2022,11/26/2022,267
TEL-1010247,6MX83Q3DXS,10/6/2021,10/31/2021,10/14/2021,211
TEL-1010633,6MX83Q3DXS,10/25/2022,11/19/2022,12/9/2022,146
TEL-1000011,ZMMWQ6N4IQ,12/22/2021,1/16/2022,12/29/2021,894
TEL-1008831,ZMMWQ6N4IQ,6/3/2022,6/28/2022,7/2/2022,638
TEL-1009092,ZMMWQ6N4IQ,12/21/2022,1/15/2023,1/2/2023,868
TEL-1000012,2WQRUEW5HT,12/27/2021,1/21/2022,1/16/2022,255
TEL-1000839,2WQRUEW5HT,11/8/2021,12/3/2021,11/20/2021,297
TEL-1002555,2WQRUEW5HT,12/15/2021,1/9/2022,1/7/2022,118
TEL-1006676,2WQRUEW5HT,5/10/2021,6/4/2021,5/31/2021,207
TEL-1013646,2WQRUEW5HT,5/20/2022,6/14/2022,5/31/2022,192
TEL-1000013,K2AHCX3ZLF,8/7/2021,9/1/2021,9/24/2021,376
TEL-1001694,K2AHCX3ZLF,7/15/2022,8/9/2022,8/18/2022,399
TEL-1003457,K2AHCX3ZLF,11/25/2021,12/20/2021,1/7/2022,302
TEL-1008212,K2AHCX3ZLF,6/8/2021,7/3/2021,7/17/2021,273
TEL-1013203,K2AHCX3ZLF,8/29/2021,9/23/2021,10/2/2021,347
TEL-1014980,K2AHCX3ZLF,6/6/2021,7/1/2021,7/1/2021,428
TEL-1000014,9PIZAH6ZLP,11/9/2021,12/4/2021,11/25/2021,19
TEL-1005399,9PIZAH6ZLP,11/18/2022,12/13/2022,11/29/2022,266
TEL-1007482,9PIZAH6ZLP,3/25/2022,4/19/2022,4/1/2022,31
